step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,avg_vae_loss_20ep,avg_vae_recon_20ep,avg_vae_kl_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,current_ep_vae_loss,current_ep_vae_recon,current_ep_vae_kl,replay_size
1000,0.99905,0,0.0,0.0,0.0,nan,nan,nan,0.0,0.2632937475432105,0.2632937475432105,0.0007291772053577006,0.0006892015808261931,0.039975639432668686,1000
2000,0.9981,0,0.0,0.0,0.0,nan,nan,nan,0.0,0.3941333353364718,0.3941333353364718,0.0005598462303169072,0.0005410254816524684,0.01882075145840645,2000
3000,0.99715,1,0.0,0.39955260992394526,0.39955260992394526,0.0006374175427481532,0.0006193019216880202,0.01811564899981022,0.0,0.10874035474277027,0.10874035474277027,0.00048745895037427545,0.0004746925551444292,0.012766392901539803,3000
4000,0.9962,1,0.0,0.39955260992394526,0.39955260992394526,0.0006374175427481532,0.0006193019216880202,0.01811564899981022,0.0,0.21776302229556815,0.21776302229556815,0.000598245533183217,0.0005885686841793358,0.009676853194832802,4000
5000,0.99525,2,0.0,0.31330746607634885,0.31330746607634885,0.0005826000706292689,0.0005690711550414562,0.013528933748602867,0.0,0.09693724405420784,0.09693724405420784,0.0005227357032708824,0.0005145005998201668,0.008235090412199497,5000
6000,0.9943,2,0.0,0.31330746607634885,0.31330746607634885,0.0005826000706292689,0.0005690711550414562,0.013528933748602867,0.0,0.1980385930591849,0.1980385930591849,0.0004844412615057081,0.0004767930950038135,0.00764816626906395,6000
7000,0.99335,3,0.0,0.27994288389219596,0.27994288389219596,0.0005784728758347532,0.000566940502418826,0.011532383039593697,0.0,0.08430912041870185,0.08430912041870185,0.00047140411334112287,0.0004641542909666896,0.007249812129884958,7000
8000,0.9924,3,0.0,0.27994288389219596,0.27994288389219596,0.0005784728758347532,0.000566940502418826,0.011532383039593697,0.0,0.1797630260971701,0.1797630260971701,0.0004929492133669555,0.00048581723240204155,0.007131981663405895,8000
9000,0.99145,4,0.0,0.25896414635886644,0.25896414635886644,0.0005694754509022459,0.0005590741784544662,0.010401286650449038,0.0,0.07756825357395253,0.07756825357395253,0.0005184265319257975,0.0005115587846376002,0.006867731921374798,9000
10000,0.9905,4,0.0,0.25896414635886644,0.25896414635886644,0.0005694754509022459,0.0005590741784544662,0.010401286650449038,0.0,0.168365871680318,0.168365871680318,0.0005050383624620736,0.0004976991913281381,0.007339164149016142,10000
