step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,replay_size
1000,0.9901,0,0.0,0.0,0.0,0.0,157.81744844350197,157.81744844350197,1000
2000,0.9802,0,0.0,0.0,0.0,0.0,246.8599644179834,246.8599644179834,2000
3000,0.9703,1,0.0,250.625098984019,250.625098984019,0.0,94.60162144402686,94.60162144402686,3000
4000,0.9604,1,0.0,250.625098984019,250.625098984019,0.0,164.84055351375977,164.84055351375977,4000
5000,0.9505,2,0.0,210.50996400907653,210.50996400907653,0.0,69.77442712725181,69.77442712725181,5000
6000,0.9406,2,0.0,210.50996400907653,210.50996400907653,0.0,131.4131164931503,131.4131164931503,6000
7000,0.9307,3,0.0,186.429586949424,186.429586949424,0.0,65.48742774982756,65.48742774982756,7000
8000,0.9208,3,0.0,186.429586949424,186.429586949424,0.0,117.50167352008948,117.50167352008948,8000
9000,0.9109,4,0.0,171.29880427607358,171.29880427607358,0.0,38.26604975941935,38.26604975941935,9000
10000,0.901,4,0.0,171.29880427607358,171.29880427607358,0.0,83.1052189072945,83.1052189072945,10000
11000,0.8911,5,0.2,156.11909325420433,156.11909325420433,0.0,38.22802076531724,38.22802076531724,11000
12000,0.8812,5,0.2,156.11909325420433,156.11909325420433,0.0,79.781635003125,79.781635003125,12000
13000,0.8713,6,0.16666666666666666,145.07865626889398,145.07865626889398,0.0,32.30092673440745,32.30092673440745,13000
14000,0.8613999999999999,6,0.16666666666666666,145.07865626889398,145.07865626889398,0.0,70.26319743850819,70.26319743850819,14000
15000,0.8515,7,0.14285714285714285,135.9465276031448,135.9465276031448,0.0,30.9044876323003,30.9044876323003,15000
16000,0.8416,7,0.14285714285714285,135.9465276031448,135.9465276031448,0.0,70.4498129714592,70.4498129714592,16000
17000,0.8317,8,0.125,129.3507150111377,129.3507150111377,0.0,25.393226951317107,25.393226951317107,17000
18000,0.8218,8,0.125,129.3507150111377,129.3507150111377,0.0,64.56254601803184,64.56254601803184,18000
19000,0.8119000000000001,9,0.1111111111111111,123.59420594371593,123.59420594371593,0.0,27.3963455440969,27.3963455440969,19000
20000,0.802,9,0.1111111111111111,123.59420594371593,123.59420594371593,0.0,63.03864047368202,63.03864047368202,20000
21000,0.7921,10,0.1,119.09697959700561,119.09697959700561,0.0,21.61301774575411,21.61301774575411,21000
22000,0.7822,10,0.1,119.09697959700561,119.09697959700561,0.0,54.22187535935406,54.22187535935406,22000
23000,0.7723,11,0.09090909090909091,114.81820515594914,114.81820515594914,0.0,20.39354245806592,20.39354245806592,23000
24000,0.7624,11,0.09090909090909091,114.81820515594914,114.81820515594914,0.0,52.183072255393725,52.183072255393725,24000
25000,0.7525,12,0.08333333333333333,110.95456298132747,110.95456298132747,0.0,16.668996255805325,16.668996255805325,25000
26000,0.7425999999999999,12,0.08333333333333333,110.95456298132747,110.95456298132747,0.0,45.992201785262615,45.992201785262615,26000
27000,0.7326999999999999,13,0.07692307692307693,107.21883770440803,107.21883770440803,0.0,17.003253762523908,17.003253762523908,27000
28000,0.7228,13,0.07692307692307693,107.21883770440803,107.21883770440803,0.0,48.91492347536792,48.91492347536792,28000
29000,0.7129000000000001,14,0.07142857142857142,104.52358197181809,104.52358197181809,0.0,12.306215901523625,12.306215901523625,29000
30000,0.7030000000000001,14,0.07142857142857142,104.52358197181809,104.52358197181809,0.0,41.09962148361036,41.09962148361036,30000
31000,0.6931,15,0.06666666666666667,101.55005203176523,101.55005203176523,0.0,11.281685866627507,11.281685866627507,31000
32000,0.6832,15,0.06666666666666667,101.55005203176523,101.55005203176523,0.0,41.13094615298777,41.13094615298777,32000
33000,0.6733,16,0.0625,99.0027570743209,99.0027570743209,0.0,13.335006418498564,13.335006418498564,33000
34000,0.6634,16,0.0625,99.0027570743209,99.0027570743209,0.0,45.30058742620621,45.30058742620621,34000
35000,0.6535,17,0.058823529411764705,97.09868064110645,97.09868064110645,0.0,7.7906623846928476,7.7906623846928476,35000
36000,0.6436,17,0.058823529411764705,97.09868064110645,97.09868064110645,0.0,35.34140179093696,35.34140179093696,36000
37000,0.6336999999999999,18,0.05555555555555555,94.9635909559817,94.9635909559817,0.0,9.502478231188798,9.502478231188798,37000
38000,0.6238,18,0.05555555555555555,94.9635909559817,94.9635909559817,0.0,39.99351036582971,39.99351036582971,38000
39000,0.6139,19,0.05263157894736842,93.31039311752168,93.31039311752168,0.0,7.556195987896527,7.556195987896527,39000
40000,0.604,19,0.05263157894736842,93.31039311752168,93.31039311752168,0.0,37.92396076698752,37.92396076698752,40000
41000,0.5941000000000001,20,0.05,91.72089876280802,91.72089876280802,0.0,5.058648502222434,5.058648502222434,41000
42000,0.5842,20,0.05,91.72089876280802,91.72089876280802,0.0,33.657996997613296,33.657996997613296,42000
43000,0.5743,21,0.05,82.05361581164074,82.05361581164074,0.0,3.165704396771817,3.165704396771817,43000
44000,0.5644,21,0.05,82.05361581164074,82.05361581164074,0.0,30.546330300439486,30.546330300439486,44000
45000,0.5545,22,0.05,76.33691462050719,76.33691462050719,0.0,1.4292646650416752,1.4292646650416752,45000
46000,0.5446,22,0.05,76.33691462050719,76.33691462050719,0.0,30.71502075451487,30.71502075451487,46000
47000,0.5347,22,0.05,76.33691462050719,76.33691462050719,1.0,57.3910318794834,57.3910318794834,47000
48000,0.5248,23,0.1,72.30641913150336,72.30641913150336,0.0,31.311802661928983,31.311802661928983,48000
49000,0.5149,23,0.1,72.30641913150336,72.30641913150336,0.0,58.295325912127,58.295325912127,49000
50000,0.505,24,0.1,68.9881874718553,68.9881874718553,0.0,25.91257274703667,25.91257274703667,50000
51000,0.4951,24,0.1,68.9881874718553,68.9881874718553,0.0,53.5700303924747,53.5700303924747,50000
52000,0.48519999999999996,25,0.05,67.04467647284221,67.04467647284221,0.0,22.230341293901265,22.230341293901265,50000
53000,0.47529999999999994,25,0.05,67.04467647284221,67.04467647284221,0.0,44.72190724846724,44.72190724846724,50000
54000,0.4653999999999999,26,0.05,64.96310262361835,64.96310262361835,2.0,21.40246295266484,21.40246295266484,50000
55000,0.4555,26,0.05,64.96310262361835,64.96310262361835,2.0,44.79464947491622,44.79464947491622,50000
56000,0.4456,27,0.15,63.35663904729769,63.35663904729769,1.0,23.240628962075217,23.240628962075217,50000
57000,0.4357000000000001,27,0.15,63.35663904729769,63.35663904729769,2.0,49.92707947424335,49.92707947424335,50000
58000,0.42580000000000007,28,0.25,61.99309624384639,61.99309624384639,0.0,23.689527866594418,23.689527866594418,50000
59000,0.41590000000000005,28,0.25,61.99309624384639,61.99309624384639,1.0,48.07382578749554,48.07382578749554,50000
60000,0.406,29,0.35,60.87410407856422,60.87410407856422,0.0,20.385245329853674,20.385245329853674,50000
61000,0.3961,29,0.35,60.87410407856422,60.87410407856422,2.0,44.65771502741463,44.65771502741463,50000
62000,0.3862,30,0.5,59.544291428283124,59.544291428283124,0.0,18.86868282437401,18.86868282437401,50000
63000,0.37629999999999997,30,0.5,59.544291428283124,59.544291428283124,0.0,42.46254375117932,42.46254375117932,50000
64000,0.36639999999999995,31,0.5,58.48196038674896,58.48196038674896,0.0,19.66073458316767,19.66073458316767,50000
65000,0.35650000000000004,31,0.5,58.48196038674896,58.48196038674896,1.0,44.10249828222178,44.10249828222178,50000
66000,0.3466,32,0.65,57.738684731668535,57.738684731668535,0.0,17.379320696554256,17.379320696554256,50000
67000,0.3367,32,0.65,57.738684731668535,57.738684731668535,0.0,43.21538083963163,43.21538083963163,50000
68000,0.3268,33,0.75,57.33445373672911,57.33445373672911,3.0,15.23698527979719,15.23698527979719,50000
69000,0.31690000000000007,33,0.75,57.33445373672911,57.33445373672911,5.0,38.47469305996745,38.47469305996745,50000
70000,0.30700000000000005,34,1.1,56.39211079961389,56.39211079961389,1.0,12.759543705218261,12.759543705218261,50000
71000,0.29710000000000003,34,1.1,56.39211079961389,56.39211079961389,2.0,36.67411360475202,36.67411360475202,50000
72000,0.2872,35,1.3,55.878211759562724,55.878211759562724,0.0,15.08794818570274,15.08794818570274,50000
73000,0.2773,35,1.3,55.878211759562724,55.878211759562724,4.0,37.761990803935014,37.761990803935014,50000
74000,0.26739999999999997,36,1.65,55.44002833986163,55.44002833986163,2.0,8.931146036125991,8.931146036125991,50000
75000,0.25750000000000006,36,1.65,55.44002833986163,55.44002833986163,5.0,31.52377917675079,31.52377917675079,50000
76000,0.24760000000000004,37,2.05,54.402295802482044,54.402295802482044,1.0,10.849772669453829,10.849772669453829,50000
77000,0.23770000000000002,37,2.05,54.402295802482044,54.402295802482044,1.0,35.80146946594601,35.80146946594601,50000
78000,0.2278,38,2.15,54.0098991991923,54.0098991991923,1.0,6.886785301952036,6.886785301952036,50000
79000,0.21789999999999998,38,2.15,54.0098991991923,54.0098991991923,3.0,26.762056494265337,26.762056494265337,50000
80000,0.20799999999999996,39,2.5,52.91392919401761,52.91392919401761,0.0,8.788647497494773,8.788647497494773,50000
81000,0.19809999999999994,39,2.5,52.91392919401761,52.91392919401761,5.0,31.584989505457166,31.584989505457166,50000
82000,0.18820000000000003,40,2.85,52.37567429965232,52.37567429965232,1.0,6.996774818254615,6.996774818254615,50000
83000,0.17830000000000001,40,2.85,52.37567429965232,52.37567429965232,5.0,29.33288389865298,29.33288389865298,50000
84000,0.1684,41,3.45,51.82261516189213,51.82261516189213,0.0,6.175933583260872,6.175933583260872,50000
85000,0.15849999999999997,41,3.45,51.82261516189213,51.82261516189213,7.0,29.018669192722122,29.018669192722122,50000
86000,0.14860000000000007,42,4.0,51.45989109203937,51.45989109203937,0.0,2.728206853307205,2.728206853307205,50000
