step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,avg_temporal_intr_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,current_ep_temporal_intr,replay_size
1000,0.99905,0,0.0,0.0,0.0,0.0,0.0,156.16037555235968,156.16037555235968,0.0,1000
2000,0.9981,0,0.0,0.0,0.0,0.0,0.0,248.0770751933345,248.0770751933345,0.0,2000
3000,0.99715,1,0.0,251.64957183653343,251.64957183653343,0.0,0.0,92.93488062413815,92.93488062413815,0.0,3000
4000,0.9962,1,0.0,251.64957183653343,251.64957183653343,0.0,0.0,161.38305441764584,161.38305441764584,0.0,4000
5000,0.99525,2,0.0,209.3437847837278,209.3437847837278,0.0,0.0,53.594172593952614,53.594172593952614,0.0,5000
6000,0.9943,2,0.0,209.3437847837278,209.3437847837278,0.0,0.0,106.79429284304851,106.79429284304851,0.0,6000
7000,0.99335,3,0.0,177.48536948274477,177.48536948274477,0.0,0.0,48.79174946082026,48.79174946082026,0.0,7000
8000,0.9924,3,0.0,177.48536948274477,177.48536948274477,0.0,0.0,96.93683600454878,96.93683600454878,0.0,8000
9000,0.99145,4,0.0,159.42211697213276,159.42211697213276,0.0,0.0,52.899737088428026,52.899737088428026,0.0,9000
10000,0.9905,4,0.0,159.42211697213276,159.42211697213276,0.0,0.0,100.97716875495881,100.97716875495881,0.0,10000
11000,0.98955,5,0.0,150.00669650295836,150.00669650295836,0.0,0.0,33.11627204728809,33.11627204728809,0.0,11000
12000,0.9886,5,0.0,150.00669650295836,150.00669650295836,0.0,0.0,74.41740706168588,74.41740706168588,0.0,12000
13000,0.98765,6,0.0,139.1734033091353,139.1734033091353,0.0,0.0,47.90702573221901,47.90702573221901,0.0,13000
14000,0.9867,6,0.0,139.1734033091353,139.1734033091353,0.0,0.0,92.0264878064406,92.0264878064406,0.0,14000
15000,0.98575,7,0.0,134.19249510484445,134.19249510484445,0.0,0.0,26.191414353799818,26.191414353799818,0.0,15000
16000,0.9848,7,0.0,134.19249510484445,134.19249510484445,0.0,0.0,62.914422193853035,62.914422193853035,0.0,16000
17000,0.98385,8,0.0,126.93992956538997,126.93992956538997,0.0,0.0,23.865431050526844,23.865431050526844,0.0,17000
18000,0.9829,8,0.0,126.93992956538997,126.93992956538997,0.0,0.0,58.768038114904435,58.768038114904435,0.0,18000
19000,0.98195,9,0.0,120.87612877906174,120.87612877906174,0.0,0.0,24.119638315936253,24.119638315936253,0.0,19000
20000,0.981,9,0.0,120.87612877906174,120.87612877906174,0.0,0.0,59.19480098602961,59.19480098602961,0.0,20000
21000,0.98005,10,0.0,116.1943747538038,116.1943747538038,0.0,0.0,17.69348091199729,17.69348091199729,0.0,21000
22000,0.9791,10,0.0,116.1943747538038,116.1943747538038,0.0,0.0,48.800122582770555,48.800122582770555,0.0,22000
23000,0.97815,11,0.0,111.5075391961109,111.5075391961109,0.0,0.0,15.284825602120561,15.284825602120561,0.0,23000
24000,0.9772,11,0.0,111.5075391961109,111.5075391961109,0.0,0.0,43.6924757464714,43.6924757464714,0.0,24000
25000,0.97625,12,0.0,107.19149961747138,107.19149961747138,0.0,0.0,18.54345675237231,18.54345675237231,0.0,25000
26000,0.9753000000000001,12,0.0,107.19149961747138,107.19149961747138,0.0,0.0,50.801892245252986,50.801892245252986,0.0,26000
27000,0.97435,13,0.0,104.19234166917668,104.19234166917668,0.0,0.0,13.455703791911905,13.455703791911905,0.0,27000
28000,0.9734,13,0.0,104.19234166917668,104.19234166917668,0.0,0.0,42.03555704377818,42.03555704377818,0.0,28000
29000,0.97245,14,0.0,100.97239296399906,100.97239296399906,0.0,0.0,13.690532770416148,13.690532770416148,0.0,29000
30000,0.9715,14,0.0,100.97239296399906,100.97239296399906,0.0,0.0,45.96883425981351,45.96883425981351,0.0,30000
31000,0.97055,15,0.0,98.71728518132456,98.71728518132456,0.0,0.0,10.213508431400541,10.213508431400541,0.0,31000
32000,0.9696,15,0.0,98.71728518132456,98.71728518132456,0.0,0.0,39.61680980475336,39.61680980475336,0.0,32000
33000,0.96865,16,0.0,96.27479568736332,96.27479568736332,0.0,0.0,12.134003418238835,12.134003418238835,0.0,33000
34000,0.9677,16,0.0,96.27479568736332,96.27479568736332,0.0,0.0,42.00386493392107,42.00386493392107,0.0,34000
35000,0.96675,17,0.0,94.33665868726604,94.33665868726604,0.0,0.0,6.300337704336766,6.300337704336766,0.0,35000
36000,0.9658,17,0.0,94.33665868726604,94.33665868726604,0.0,0.0,31.85444202657718,31.85444202657718,0.0,36000
37000,0.96485,18,0.0,92.06590483874983,92.06590483874983,0.0,0.0,7.233529074193604,7.233529074193604,0.0,37000
38000,0.9639,18,0.0,92.06590483874983,92.06590483874983,0.0,0.0,32.94400349034219,32.94400349034219,0.0,38000
39000,0.96295,19,0.0,90.04776923005502,90.04776923005502,0.0,0.0,6.655521832582989,6.655521832582989,0.0,39000
40000,0.962,19,0.0,90.04776923005502,90.04776923005502,0.0,0.0,34.75363758137027,34.75363758137027,0.0,40000
41000,0.96105,20,0.0,88.45232632531726,88.45232632531726,0.0,0.0,3.8862084982758205,3.8862084982758205,0.0,41000
42000,0.9601,20,0.0,88.45232632531726,88.45232632531726,0.0,0.0,31.694890413398127,31.694890413398127,0.0,42000
43000,0.95915,21,0.0,78.6298645609082,78.6298645609082,0.0,0.0,2.1974985283586044,2.1974985283586044,0.0,43000
44000,0.9582,21,0.0,78.6298645609082,78.6298645609082,0.0,0.0,29.088202974599852,29.088202974599852,0.0,44000
