step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,replay_size
1000,0.9901,0,0.0,0.0,0.0,0.0,0.25678357711365773,0.25678357711365773,1000
2000,0.9802,0,0.0,0.0,0.0,0.0,0.3910242711575452,0.3910242711575452,2000
3000,0.9703,1,0.0,0.39665087768236007,0.39665087768236007,0.0,0.10874199525552875,0.10874199525552875,3000
4000,0.9604,1,0.0,0.39665087768236007,0.39665087768236007,0.0,0.2186291814978866,0.2186291814978866,4000
5000,0.9505,2,0.0,0.3131067885953294,0.3131067885953294,0.0,0.09984509099503779,0.09984509099503779,5000
6000,0.9406,2,0.0,0.3131067885953294,0.3131067885953294,0.0,0.2105754505048863,0.2105754505048863,6000
7000,0.9307,3,0.0,0.28376710153572865,0.28376710153572865,0.0,0.08996877869544186,0.08996877869544186,7000
8000,0.9208,3,0.0,0.28376710153572865,0.28376710153572865,0.0,0.18953037187049834,0.18953037187049834,8000
9000,0.9109,4,0.0,0.2641071197588003,0.2641071197588003,0.0,0.08242811342301787,0.08242811342301787,9000
10000,0.901,4,0.0,0.2641071197588003,0.2641071197588003,0.0,0.18433021943856312,0.18433021943856312,10000
11000,0.8911,5,0.0,0.2530324219888215,0.2530324219888215,0.0,0.07198472065735893,0.07198472065735893,11000
12000,0.8812,5,0.0,0.2530324219888215,0.2530324219888215,0.0,0.16220952040517325,0.16220952040517325,12000
13000,0.8713,6,0.0,0.24204502061442457,0.24204502061442457,0.0,0.06473219295094143,0.06473219295094143,13000
14000,0.8613999999999999,6,0.0,0.24204502061442457,0.24204502061442457,0.0,0.15677162286967328,0.15677162286967328,14000
15000,0.8515,7,0.0,0.2338067407872013,0.2338067407872013,0.0,0.05966844857753272,0.05966844857753272,15000
16000,0.8416,7,0.0,0.2338067407872013,0.2338067407872013,0.0,0.14517152321443164,0.14517152321443164,16000
17000,0.8317,8,0.0,0.22628668040218655,0.22628668040218655,0.0,0.05579981258658162,0.05579981258658162,17000
18000,0.8218,8,0.0,0.22628668040218655,0.22628668040218655,0.0,0.13651116549235232,0.13651116549235232,18000
19000,0.8119000000000001,9,0.0,0.2198651228109303,0.2198651228109303,0.0,0.04653658183777361,0.04653658183777361,19000
20000,0.802,9,0.0,0.2198651228109303,0.2198651228109303,0.0,0.12409852303709279,0.12409852303709279,20000
21000,0.7921,10,0.0,0.2136987302816545,0.2136987302816545,0.0,0.03922475101518987,0.03922475101518987,21000
22000,0.7822,10,0.0,0.2136987302816545,0.2136987302816545,0.0,0.11323157675046276,0.11323157675046276,22000
23000,0.7723,11,0.0,0.20787129501253013,0.20787129501253013,0.0,0.03686151039472181,0.03686151039472181,23000
24000,0.7624,11,0.0,0.20787129501253013,0.20787129501253013,0.0,0.10696788046207942,0.10696788046207942,24000
25000,0.7525,12,0.0,0.20246335571943333,0.20246335571943333,0.0,0.030397567191758047,0.030397567191758047,25000
26000,0.7425999999999999,12,0.0,0.20246335571943333,0.20246335571943333,0.0,0.10164688917983875,0.10164688917983875,26000
27000,0.7326999999999999,13,0.0,0.19779629959595252,0.19779629959595252,0.0,0.02639598480222738,0.02639598480222738,27000
28000,0.7228,13,0.0,0.19779629959595252,0.19779629959595252,0.0,0.0907814197032166,0.0907814197032166,28000
29000,0.7129000000000001,14,0.0,0.19305412578050826,0.19305412578050826,0.0,0.02241281727984543,0.02241281727984543,29000
30000,0.7030000000000001,14,0.0,0.19305412578050826,0.19305412578050826,0.0,0.08065329984760984,0.08065329984760984,30000
31000,0.6931,15,0.0,0.1882745223293251,0.1882745223293251,0.0,0.0216183059345793,0.0216183059345793,31000
32000,0.6832,15,0.0,0.1882745223293251,0.1882745223293251,0.0,0.08374969095862586,0.08374969095862586,32000
33000,0.6733,16,0.0,0.18445630460101226,0.18445630460101226,0.0,0.016737629767602357,0.016737629767602357,33000
34000,0.6634,16,0.0,0.18445630460101226,0.18445630460101226,0.0,0.07484515861331931,0.07484515861331931,34000
35000,0.6535,17,0.0,0.18071476301467096,0.18071476301467096,0.0,0.013796087017152221,0.013796087017152221,35000
36000,0.6436,17,0.0,0.18071476301467096,0.18071476301467096,0.0,0.0694067991411867,0.0694067991411867,36000
37000,0.6336999999999999,18,0.0,0.17695745569346408,0.17695745569346408,0.0,0.011092731788491385,0.011092731788491385,37000
38000,0.6238,18,0.0,0.17695745569346408,0.17695745569346408,0.0,0.0654106370006691,0.0654106370006691,38000
39000,0.6139,19,0.0,0.17349682159222632,0.17349682159222632,0.0,0.008660305690488684,0.008660305690488684,39000
40000,0.604,19,0.0,0.17349682159222632,0.17349682159222632,0.0,0.0620927356189354,0.0620927356189354,40000
41000,0.5941000000000001,20,0.0,0.17035856629946586,0.17035856629946586,0.0,0.004971042757020136,0.004971042757020136,41000
42000,0.5842,20,0.0,0.17035856629946586,0.17035856629946586,0.0,0.05827354015706866,0.05827354015706866,42000
43000,0.5743,21,0.0,0.15598140756729276,0.15598140756729276,0.0,0.0033265405947176647,0.0033265405947176647,43000
44000,0.5644,21,0.0,0.15598140756729276,0.15598140756729276,0.0,0.05489467034652065,0.05489467034652065,44000
45000,0.5545,22,0.0,0.1498102300100574,0.1498102300100574,0.0,0.0009252602243393443,0.0009252602243393443,45000
46000,0.5446,22,0.0,0.1498102300100574,0.1498102300100574,0.0,0.050615279610981306,0.050615279610981306,46000
47000,0.5347,22,0.0,0.1498102300100574,0.1498102300100574,0.0,0.09918812892325242,0.09918812892325242,47000
48000,0.5248,23,0.0,0.14357925608854463,0.14357925608854463,0.0,0.051104109054479596,0.051104109054479596,48000
