step,epsilon,episodes,avg_ext_20ep,avg_intr_20ep,avg_state_intr_20ep,current_ep_ext,current_ep_intr,current_ep_state_intr,replay_size
1000,0.9901,0,0.0,0.0,0.0,0.0,156.23649942885444,156.23649942885444,1000
2000,0.9802,0,0.0,0.0,0.0,0.0,274.1103887985498,274.1103887985498,2000
3000,0.9703,1,0.0,280.57631362165876,280.57631362165876,0.0,99.6192798693244,99.6192798693244,3000
4000,0.9604,1,0.0,280.57631362165876,280.57631362165876,0.0,209.40350412041911,209.40350412041911,4000
5000,0.9505,2,0.0,251.06085761786971,251.06085761786971,0.0,97.54750757477296,97.54750757477296,5000
6000,0.9406,2,0.0,251.06085761786971,251.06085761786971,0.0,207.08469344953244,207.08469344953244,6000
7000,0.9307,3,0.0,243.0103813113917,243.0103813113917,0.0,99.87689536697582,99.87689536697582,7000
8000,0.9208,3,0.0,243.0103813113917,243.0103813113917,0.0,211.26583782807438,211.26583782807438,8000
9000,0.9109,4,0.0,240.92550882658782,240.92550882658782,0.0,88.95918626492006,88.95918626492006,9000
10000,0.901,4,0.0,240.92550882658782,240.92550882658782,0.0,198.50055171981563,198.50055171981563,10000
11000,0.8911,5,0.0,238.02531479881014,238.02531479881014,0.0,81.87031513405674,81.87031513405674,11000
12000,0.8812,5,0.0,238.02531479881014,238.02531479881014,0.0,185.15756031993848,185.15756031993848,12000
13000,0.8713,6,0.0,234.30529376065624,234.30529376065624,0.0,79.67806987451162,79.67806987451162,13000
14000,0.8613999999999999,6,0.0,234.30529376065624,234.30529376065624,0.0,186.0346101205834,186.0346101205834,14000
15000,0.8515,7,0.0,232.21134655767702,232.21134655767702,0.0,74.3764324346341,74.3764324346341,15000
16000,0.8416,7,0.0,232.21134655767702,232.21134655767702,0.0,173.46900467073462,173.46900467073462,16000
17000,0.8317,8,0.0,229.62752701020977,229.62752701020977,0.0,66.5238619277961,66.5238619277961,17000
18000,0.8218,8,0.0,229.62752701020977,229.62752701020977,0.0,164.16859067072014,164.16859067072014,18000
19000,0.8119000000000001,9,0.0,226.7049252969098,226.7049252969098,0.0,62.737064936172466,62.737064936172466,19000
20000,0.802,9,0.0,226.7049252969098,226.7049252969098,0.0,159.50791194134138,159.50791194134138,20000
21000,0.7921,10,0.0,224.36961946433425,224.36961946433425,0.0,57.46701546231647,57.46701546231647,21000
22000,0.7822,10,0.0,224.36961946433425,224.36961946433425,0.0,154.9048151561383,154.9048151561383,22000
23000,0.7723,11,0.0,222.13981510503046,222.13981510503046,0.0,57.86215264352338,57.86215264352338,23000
24000,0.7624,11,0.0,222.13981510503046,222.13981510503046,0.0,152.09054755314529,152.09054755314529,24000
25000,0.7525,12,0.0,220.72354625806892,220.72354625806892,0.0,43.372462511909575,43.372462511909575,25000
26000,0.7425999999999999,12,0.0,220.72354625806892,220.72354625806892,0.0,127.45682627871564,127.45682627871564,26000
27000,0.7326999999999999,13,0.0,217.79279152625884,217.79279152625884,0.0,44.138223447312285,44.138223447312285,27000
28000,0.7228,13,0.0,217.79279152625884,217.79279152625884,0.0,134.74899321035522,134.74899321035522,28000
29000,0.7129000000000001,14,0.0,215.87201853032934,215.87201853032934,0.0,34.62992937645562,34.62992937645562,29000
30000,0.7030000000000001,14,0.0,215.87201853032934,215.87201853032934,1.0,121.63265502578766,121.63265502578766,30000
31000,0.6931,15,0.06666666666666667,213.33182752093555,213.33182752093555,0.0,30.632881434151724,30.632881434151724,31000
32000,0.6832,15,0.06666666666666667,213.33182752093555,213.33182752093555,0.0,111.96565341518401,111.96565341518401,32000
33000,0.6733,16,0.0625,210.75909760768613,210.75909760768613,0.0,29.614845767292447,29.614845767292447,33000
34000,0.6634,16,0.0625,210.75909760768613,210.75909760768613,0.0,113.398322014235,113.398322014235,34000
35000,0.6535,17,0.11764705882352941,208.8507416052036,208.8507416052036,0.0,20.033491089935204,20.033491089935204,35000
36000,0.6436,17,0.11764705882352941,208.8507416052036,208.8507416052036,0.0,103.10226926849856,103.10226926849856,36000
37000,0.6336999999999999,18,0.1111111111111111,206.5538779311083,206.5538779311083,0.0,18.808089941205882,18.808089941205882,37000
38000,0.6238,18,0.1111111111111111,206.5538779311083,206.5538779311083,0.0,100.86425904359278,100.86425904359278,38000
39000,0.6139,19,0.10526315789473684,204.68043672128053,204.68043672128053,0.0,14.567837717352512,14.567837717352512,39000
40000,0.604,19,0.10526315789473684,204.68043672128053,204.68043672128053,1.0,95.48191655095077,95.48191655095077,40000
41000,0.5941000000000001,20,0.15,203.03600523481813,203.03600523481813,0.0,16.332998993775988,16.332998993775988,41000
42000,0.5842,20,0.15,203.03600523481813,203.03600523481813,0.0,103.24946585343729,103.24946585343729,42000
43000,0.5743,21,0.15,198.0735655340909,198.0735655340909,0.0,10.419455610189804,10.419455610189804,43000
44000,0.5644,21,0.15,198.0735655340909,198.0735655340909,0.0,90.35489653435938,90.35489653435938,44000
45000,0.5545,22,0.15,195.33240955353926,195.33240955353926,0.0,4.359843418967674,4.359843418967674,45000
46000,0.5446,22,0.15,195.33240955353926,195.33240955353926,0.0,84.4004710932093,84.4004710932093,46000
47000,0.5347,22,0.15,195.33240955353926,195.33240955353926,1.0,166.6759446758827,166.6759446758827,47000
48000,0.5248,23,0.2,192.36223785505976,192.36223785505976,0.0,77.76633850823636,77.76633850823636,48000
49000,0.5149,23,0.2,192.36223785505976,192.36223785505976,1.0,155.59302566684588,155.59302566684588,49000
50000,0.505,24,0.25,188.6457391455115,188.6457391455115,0.0,80.5403373854107,80.5403373854107,50000
51000,0.4951,24,0.25,188.6457391455115,188.6457391455115,1.0,160.1124697932074,160.1124697932074,50000
52000,0.48519999999999996,25,0.3,185.72870854918682,185.72870854918682,0.0,67.10225918192403,67.10225918192403,50000
53000,0.47529999999999994,25,0.3,185.72870854918682,185.72870854918682,2.0,142.1063946308311,142.1063946308311,50000
54000,0.4653999999999999,26,0.4,182.73263692657466,182.73263692657466,1.0,63.44933333010837,63.44933333010837,50000
55000,0.4555,26,0.4,182.73263692657466,182.73263692657466,1.0,135.0571231053939,135.0571231053939,50000
56000,0.4456,27,0.45,179.27177537361223,179.27177537361223,1.0,72.05490392516352,72.05490392516352,50000
57000,0.4357000000000001,27,0.45,179.27177537361223,179.27177537361223,2.0,145.72215008398365,145.72215008398365,50000
58000,0.42580000000000007,28,0.55,176.9173323437954,176.9173323437954,0.0,59.225855134921,59.225855134921,50000
59000,0.41590000000000005,28,0.55,176.9173323437954,176.9173323437954,1.0,132.23721920339804,132.23721920339804,50000
60000,0.406,29,0.65,174.5473021517631,174.5473021517631,1.0,52.6602953187383,52.6602953187383,50000
61000,0.3961,29,0.65,174.5473021517631,174.5473021517631,2.0,124.1326674788406,124.1326674788406,50000
62000,0.3862,30,0.75,171.89708521776123,171.89708521776123,1.0,53.91867533448616,53.91867533448616,50000
63000,0.37629999999999997,30,0.75,171.89708521776123,171.89708521776123,2.0,126.74886632879672,126.74886632879672,50000
64000,0.36639999999999995,31,0.9,169.6784079532042,169.6784079532042,2.0,48.67701920406727,48.67701920406727,50000
65000,0.35650000000000004,31,0.9,169.6784079532042,169.6784079532042,4.0,117.15144050393462,117.15144050393462,50000
66000,0.3466,32,1.2,166.97525273438958,166.97525273438958,0.0,41.755600336608396,41.755600336608396,50000
67000,0.3367,32,1.2,166.97525273438958,166.97525273438958,1.0,110.18946570766394,110.18946570766394,50000
68000,0.3268,33,1.3,165.17185196539302,165.17185196539302,0.0,45.83591739646324,45.83591739646324,50000
69000,0.31690000000000007,33,1.3,165.17185196539302,165.17185196539302,2.0,116.01598924994107,116.01598924994107,50000
70000,0.30700000000000005,34,1.5,163.25700180201738,163.25700180201738,2.0,38.38660202122971,38.38660202122971,50000
71000,0.29710000000000003,34,1.5,163.25700180201738,163.25700180201738,4.0,101.8634033141416,101.8634033141416,50000
72000,0.2872,35,1.7,161.51194730101324,161.51194730101324,2.0,35.506439992261406,35.506439992261406,50000
73000,0.2773,35,1.7,161.51194730101324,161.51194730101324,3.0,101.12937257264161,101.12937257264161,50000
74000,0.26739999999999997,36,1.95,160.1169857120454,160.1169857120454,1.0,27.60386952789843,27.60386952789843,50000
75000,0.25750000000000006,36,1.95,160.1169857120454,160.1169857120454,2.0,92.90392506444314,92.90392506444314,50000
76000,0.24760000000000004,37,2.15,158.13221760882914,158.13221760882914,1.0,33.406585721842355,33.406585721842355,50000
77000,0.23770000000000002,37,2.15,158.13221760882914,158.13221760882914,3.0,103.08205521237265,103.08205521237265,50000
78000,0.2278,38,2.3,157.3685188760888,157.3685188760888,1.0,21.961253616137554,21.961253616137554,50000
79000,0.21789999999999998,38,2.3,157.3685188760888,157.3685188760888,2.0,89.51857019733019,89.51857019733019,50000
80000,0.20799999999999996,39,2.5,155.767646729942,155.767646729942,1.0,26.634667843972327,26.634667843972327,50000
81000,0.19809999999999994,39,2.5,155.767646729942,155.767646729942,5.0,90.57101332664698,90.57101332664698,50000
82000,0.18820000000000003,40,2.85,154.33059741879148,154.33059741879148,1.0,18.582631395019114,18.582631395019114,50000
83000,0.17830000000000001,40,2.85,154.33059741879148,154.33059741879148,3.0,83.96291931544208,83.96291931544208,50000
84000,0.1684,41,3.05,152.2836839288285,152.2836839288285,0.0,17.723152718767057,17.723152718767057,50000
85000,0.15849999999999997,41,3.05,152.2836839288285,152.2836839288285,6.0,85.28886254583887,85.28886254583887,50000
86000,0.14860000000000007,42,3.45,151.12924338651223,151.12924338651223,0.0,8.487332386828573,8.487332386828573,50000
87000,0.13870000000000005,42,3.45,151.12924338651223,151.12924338651223,3.0,70.7046771911343,70.7046771911343,50000
88000,0.12880000000000003,43,3.8,149.3435725099842,149.3435725099842,0.0,4.994259413057268,4.994259413057268,50000
89000,0.1189,43,3.8,149.3435725099842,149.3435725099842,6.0,66.28108901587872,66.28108901587872,50000
90000,0.10899999999999999,44,4.15,147.7572966069808,147.7572966069808,0.0,6.050223909265654,6.050223909265654,50000
91000,0.09909999999999997,44,4.15,147.7572966069808,147.7572966069808,4.0,74.47027343506397,74.47027343506397,50000
92000,0.08919999999999995,45,4.55,146.09337360055156,146.09337360055156,0.0,0.8961950068628035,0.8961950068628035,50000
93000,0.07929999999999993,45,4.55,146.09337360055156,146.09337360055156,2.0,71.61957844847235,71.61957844847235,50000
94000,0.06940000000000002,45,4.55,146.09337360055156,146.09337360055156,4.0,132.13389279012964,132.13389279012964,50000
95000,0.0595,46,4.65,145.0332382600482,145.0332382600482,2.0,71.77990466166293,71.77990466166293,50000
96000,0.04960000000000009,46,4.65,145.0332382600482,145.0332382600482,6.0,134.52892712038417,134.52892712038417,50000
97000,0.03970000000000007,47,4.95,144.5600397473904,144.5600397473904,5.0,63.76405694003169,63.76405694003169,50000
98000,0.02980000000000005,47,4.95,144.5600397473904,144.5600397473904,12.0,120.861994057626,120.861994057626,50000
99000,0.01990000000000003,48,5.45,142.9629535992948,142.9629535992948,4.0,55.71740006828663,55.71740006828663,50000
100000,0.010000000000000009,48,5.45,142.9629535992948,142.9629535992948,9.0,115.26764558834944,115.26764558834944,50000
101000,0.010000000000000009,49,5.8,141.52639413977246,141.52639413977246,5.0,57.206094657032445,57.206094657032445,50000
102000,0.010000000000000009,49,5.8,141.52639413977246,141.52639413977246,13.0,118.70827256940873,118.70827256940873,50000
103000,0.010000000000000009,50,6.4,140.79715301078676,140.79715301078676,4.0,51.09429777819279,51.09429777819279,50000
104000,0.010000000000000009,50,6.4,140.79715301078676,140.79715301078676,13.0,109.46393213604232,109.46393213604232,50000
105000,0.010000000000000009,51,6.9,139.43202656941645,139.43202656941645,3.0,46.95748775670484,46.95748775670484,50000
106000,0.010000000000000009,51,6.9,139.43202656941645,139.43202656941645,8.0,111.58354481927063,111.58354481927063,50000
107000,0.010000000000000009,52,7.15,138.57150935525652,138.57150935525652,5.0,42.060510634371816,42.060510634371816,50000
108000,0.010000000000000009,52,7.15,138.57150935525652,138.57150935525652,13.0,100.51741170912194,100.51741170912194,50000
109000,0.010000000000000009,53,7.8,137.30586831967761,137.30586831967761,5.0,44.12845807419848,44.12845807419848,50000
